ds,yhat,yhat_lower,yhat_upper,consumer_id
2025-06-01,1041.6099033049936,-22507.406800457793,25866.14507681942,-9218171150999112048
2025-06-02,981.7005104662578,-23406.652774923456,25028.586217758755,-9218171150999112048
2025-06-03,825.3303868787294,-22023.084973572135,26451.01875745697,-9218171150999112048
2025-06-04,1277.254475527744,-23053.789164410813,26023.65381026389,-9218171150999112048
2025-06-05,872.6228202455493,-25482.312225920152,25157.064013340903,-9218171150999112048
2025-06-06,2080.9255845502994,-27388.908471579194,28099.32502916899,-9218171150999112048
2025-06-07,352.6634719588249,-21884.435508050592,21733.323771992444,-9218171150999112048
2025-06-08,555.4522015856815,-23632.819926493634,22641.369103771798,-9218171150999112048
2025-06-09,380.36645166849985,-23175.157334255473,24174.18568153362,-9218171150999112048
2025-06-10,124.39373752957573,-23057.79330572922,21961.518639444057,-9218171150999112048
2025-06-11,478.79560748981896,-22500.716882349578,23020.995739874696,-9218171150999112048
2025-06-12,17.891182588176946,-23105.49609717827,23523.282409668678,-9218171150999112048
2025-06-13,1153.6286760541827,-23158.672632009748,24376.416385091852,-9218171150999112048
2025-06-14,-549.044983797258,-25008.687055799404,21087.45535422252,-9218171150999112048
2025-06-15,-340.42925598158166,-23895.63672997031,22965.50940004068,-9218171150999112048
2025-06-16,-471.2242962220645,-25013.16528451403,22949.44792469326,-9218171150999112048
2025-06-17,-651.1375534940067,-24637.1989936422,23080.258494895745,-9218171150999112048
2025-06-18,-206.31067709239264,-22980.335840735424,23234.155366533356,-9218171150999112048
2025-06-19,-527.6064551250538,-25048.262895885757,23737.80256837026,-9218171150999112048
2025-06-20,734.6911412058122,-24572.944663499544,25627.292239712442,-9218171150999112048
2025-06-21,-744.9411582126457,-23611.40759260976,24022.548618795132,-9218171150999112048
2025-06-22,-339.7392497033013,-23313.441057688826,22648.638066603722,-9218171150999112048
2025-06-23,-247.17766843932625,-23232.40820430777,21600.479684184276,-9218171150999112048
2025-06-24,-188.50819806424715,-21801.652729456207,22009.459219739478,-9218171150999112048
2025-06-25,488.1521080778732,-23602.64314428007,22433.245947361876,-9218171150999112048
2025-06-26,422.58563511220467,-24066.00333215802,23489.51433086083,-9218171150999112048
2025-06-27,1898.6165533797403,-27832.503009031654,30437.511505862287,-9218171150999112048
2025-06-28,697.2076191920436,-21654.6543496418,24112.91852223565,-9218171150999112048
2025-06-29,1319.8471137689291,-26751.383267211062,28348.867808188883,-9218171150999112048
2025-06-30,1620.7229345011215,-28183.91046059494,32079.922040115292,-9218171150999112048
